Date,Close,Sentiment
2016-05-06 00:00:00+00:00,21.27,-138.0
2016-05-09 00:00:00+00:00,21.28,-59.0
2016-05-10 00:00:00+00:00,21.43,-55.0
2016-05-11 00:00:00+00:00,21.22,-78.0
2016-05-12 00:00:00+00:00,20.72,-302.0
2016-05-13 00:00:00+00:00,20.76,-32.0
2016-05-16 00:00:00+00:00,21.53,142.0
2016-05-17 00:00:00+00:00,21.44,-15.0
2016-05-18 00:00:00+00:00,21.69,13.0
2016-05-19 00:00:00+00:00,21.61,5.0
2016-05-20 00:00:00+00:00,21.84,17.0
2016-05-23 00:00:00+00:00,22.12,48.0
2016-05-24 00:00:00+00:00,22.45,8.0
2016-05-25 00:00:00+00:00,22.85,30.0
2016-05-26 00:00:00+00:00,23.03,47.0
2016-05-27 00:00:00+00:00,23.02,4.0
2016-05-31 00:00:00+00:00,22.9,-21.0
2016-06-01 00:00:00+00:00,22.58,-34.0
2016-06-02 00:00:00+00:00,22.41,-59.0
2016-06-03 00:00:00+00:00,22.46,-17.0
2016-06-06 00:00:00+00:00,22.62,-3.0
2016-06-07 00:00:00+00:00,22.71,-17.0
2016-06-08 00:00:00+00:00,22.69,-2.0
2016-06-09 00:00:00+00:00,22.86,8.0
2016-06-10 00:00:00+00:00,22.67,0.0
2016-06-13 00:00:00+00:00,22.33,-46.0
2016-06-14 00:00:00+00:00,22.35,-24.0
2016-06-15 00:00:00+00:00,22.28,-21.0
2016-06-16 00:00:00+00:00,22.37,-30.0
2016-06-17 00:00:00+00:00,21.86,-142.0
2016-06-20 00:00:00+00:00,21.81,-63.0
2016-06-21 00:00:00+00:00,22.0,-24.0
2016-06-22 00:00:00+00:00,21.91,-13.0
2016-06-23 00:00:00+00:00,22.04,-37.0
2016-06-24 00:00:00+00:00,21.42,-57.0
2016-06-27 00:00:00+00:00,21.11,-66.0
2016-06-28 00:00:00+00:00,21.47,-31.0
2016-06-29 00:00:00+00:00,21.65,-22.0
2016-06-30 00:00:00+00:00,21.93,-44.0
2016-07-01 00:00:00+00:00,21.99,-45.0
2016-07-05 00:00:00+00:00,21.79,-31.0
2016-07-06 00:00:00+00:00,21.91,-9.0
2016-07-07 00:00:00+00:00,22.0,-9.0
2016-07-08 00:00:00+00:00,22.17,-20.0
2016-07-11 00:00:00+00:00,22.24,6.0
2016-07-12 00:00:00+00:00,22.34,-35.0
2016-07-13 00:00:00+00:00,22.22,-17.0
2016-07-14 00:00:00+00:00,22.66,27.0
2016-07-15 00:00:00+00:00,22.66,-17.0
2016-07-18 00:00:00+00:00,22.9,32.0
2016-07-19 00:00:00+00:00,22.91,17.0
2016-07-20 00:00:00+00:00,22.93,-5.0
2016-07-21 00:00:00+00:00,22.8,-13.0
2016-07-22 00:00:00+00:00,22.63,-11.0
2016-07-25 00:00:00+00:00,22.33,-89.0
2016-07-26 00:00:00+00:00,22.17,97.0
2016-07-27 00:00:00+00:00,23.61,164.0
2016-07-28 00:00:00+00:00,23.93,53.0
2016-07-29 00:00:00+00:00,23.9,1.0
2016-08-01 00:00:00+00:00,24.32,63.0
2016-08-02 00:00:00+00:00,23.96,-9.0
2016-08-03 00:00:00+00:00,24.26,32.0
2016-08-04 00:00:00+00:00,24.41,10.0
2016-08-05 00:00:00+00:00,24.78,53.0
2016-08-08 00:00:00+00:00,24.99,0.0
2016-08-09 00:00:00+00:00,25.09,-1.0
2016-08-10 00:00:00+00:00,24.9,-31.0
2016-08-11 00:00:00+00:00,24.89,0.0
2016-08-12 00:00:00+00:00,24.95,-8.0
2016-08-15 00:00:00+00:00,25.25,77.0
2016-08-16 00:00:00+00:00,25.22,31.0
2016-08-17 00:00:00+00:00,25.19,-7.0
2016-08-18 00:00:00+00:00,25.15,-2.0
2016-08-19 00:00:00+00:00,25.22,-13.0
2016-08-22 00:00:00+00:00,25.02,-22.0
2016-08-23 00:00:00+00:00,25.1,-6.0
2016-08-24 00:00:00+00:00,24.91,-19.0
2016-08-25 00:00:00+00:00,24.81,-24.0
2016-08-26 00:00:00+00:00,24.66,-20.0
2016-08-29 00:00:00+00:00,24.63,-9.0
2016-08-30 00:00:00+00:00,24.44,-232.0
2016-08-31 00:00:00+00:00,24.47,-47.0
2016-09-01 00:00:00+00:00,24.61,-28.0
2016-09-02 00:00:00+00:00,24.84,5.0
2016-09-06 00:00:00+00:00,24.84,-1.0
2016-09-07 00:00:00+00:00,24.99,-79.0
2016-09-08 00:00:00+00:00,24.33,-165.0
2016-09-09 00:00:00+00:00,23.78,-94.0
2016-09-12 00:00:00+00:00,24.31,-23.0
2016-09-13 00:00:00+00:00,24.89,109.0
2016-09-14 00:00:00+00:00,25.77,153.0
2016-09-15 00:00:00+00:00,26.65,158.0
2016-09-16 00:00:00+00:00,26.5,-1.0
2016-09-19 00:00:00+00:00,26.19,-40.0
2016-09-20 00:00:00+00:00,26.19,0.0
2016-09-21 00:00:00+00:00,26.18,-47.0
2016-09-22 00:00:00+00:00,26.43,2.0
2016-09-23 00:00:00+00:00,25.99,-115.0
2016-09-26 00:00:00+00:00,26.03,-35.0
2016-09-27 00:00:00+00:00,26.08,-3.0
2016-09-28 00:00:00+00:00,26.28,28.0
